date_iso,date,title,content,image,video
2020-05-23T17:57:00,"23 mai 2020 à 17:57","Un duo français repéré par Bjork en personne ! JMZ et Nico Sarro en version lockdown à distance https://youtu.be/zxYr...","Un duo français repéré par Bjork en personne ! JMZ et Nico Sarro en version lockdown à distance https://youtu.be/zxYrwYSC5zU","",""
2020-05-23T14:41:00,"23 mai 2020 à 14:41","","","",""
2020-05-23T12:06:00,"23 mai 2020 à 12:06","15 ans après leur cover sélectionnée par #Björk dans son album, ils récidivent !! Quelle voix ! https://youtu.be/zxYr...","15 ans après leur cover sélectionnée par #Björk dans son album, ils récidivent !! Quelle voix ! https://youtu.be/zxYrwYSC5zU","",""
2020-05-23T10:03:00,"23 mai 2020 à 10:03","15 ans après leur cover sélectionnée par #Björk dans son album, ils récidivent !! Quelle voix !  #scènefrançaise","15 ans après leur cover sélectionnée par #Björk dans son album, ils récidivent !! Quelle voix !  #scènefrançaise","",""
2020-05-23T10:02:00,"23 mai 2020 à 10:02","15 ans après leur cover sélectionnée par #Björk dans son album, ils récidevent !! Quelle voix ! https://youtu.be/zxYr...","15 ans après leur cover sélectionnée par #Björk dans son album, ils récidevent !! Quelle voix ! https://youtu.be/zxYrwYSC5zU","",""
2020-05-23T09:45:00,"23 mai 2020 à 09:45","En 2005, #Björk repère et sélectionne le cover de Army Of Me chanté par Nico Sarro parmi plus de 700 versions !!!","En 2005, #Björk repère et sélectionne le cover de Army Of Me chanté par Nico Sarro parmi plus de 700 versions !!!\nA la suite de ça, pas une maison disque ni un producteur ne s'intéressera à cette voix hors du commun...\n🔴Live et 🎬Vlog dispo ici ⤵ \nhttps://zcu.io/hJZ3","photos_and_videos/Photosdujournal_Eix909TVeA/100476185_287189869340886_6261005875872268288_o_287189866007553.jpg",""
2020-05-22T14:18:00,"22 mai 2020 à 14:18","Demain :","Demain :\n☑ un 🎬Vlog#27 passionnant : comment Björk a sélectionné le cover de Hemp dans lequel Nico Sarro chantait.\n☑ un 🔴live electro en duo avec Jean-Michel Zanetti, son compère dans toute cette histoire.\n... et 1 vidéo bonus !\nJ'espère qu'on vous a bien teasé, à demain ! ;)","photos_and_videos/Photosdujournal_Eix909TVeA/99441177_286594492733757_7109412549925273600_o_286594486067091.jpg",""
2020-05-21T18:37:00,"21 mai 2020 à 18:37","📢 Petit point sur les votes :","📢 Petit point sur les votes :\nSoundgarden toujours au top ! Attention, si vous voulez entendre un cover de Lana Del Rey, de Dominique A ou de Michael Jackson , il vous reste jusqu'au 31 mai. Alors ALLEZ VOTER ⤵ \nhttps://zcu.io/QmlL","photos_and_videos/Photosdujournal_Eix909TVeA/99138946_286002036126336_9115135352007294976_o_286002029459670.jpg",""
2020-05-21T15:08:00,"21 mai 2020 à 15:08","","","",""
2020-05-21T10:07:00,"21 mai 2020 à 10:07","🎁 Avec l'accord de tous les membres de SWIM, nous avons mis en ligne la version originale du Live #24 sur la chaîne #...","🎁 Avec l'accord de tous les membres de SWIM, nous avons mis en ligne la version originale du Live #24 sur la chaîne #entoijevoisdemain !!!\n📣Combien êtes-vous à vouloir entendre les autres titres de SWIM ?","photos_and_videos/Photosdujournal_Eix909TVeA/98600201_285686519491221_3297451842899804160_o_285686516157888.jpg",""
2020-05-20T17:02:00,"20 mai 2020 à 17:02","🔥🔥🔥Avec l'accord de tous les membres du groupe SWIM (voir le 🎬Vlog #25), voici la version originale de Reason Of Life...","🔥🔥🔥Avec l'accord de tous les membres du groupe SWIM (voir le 🎬Vlog #25), voici la version originale de Reason Of Life, le titre joué par Nico Sarro dans notre 🔴Live #25 !\nEnjoy et énorme merci à toute l'équipe, Stef, Renaud, Pat, Charly et Nico ! 🙏\nhttps://zcu.io/j2nP","photos_and_videos/Photosdujournal_Eix909TVeA/99295665_285168196209720_6970910759551238144_o_285168192876387.jpg",""
2020-05-20T08:45:00,"20 mai 2020 à 08:45","📣Une vidéo matos en live-streaming au studio Ougga Mougga ? ","📣Une vidéo matos en live-streaming au studio Ougga Mougga ? \nOù l'on pourrait répondre à toutes vos questions sur le matériel utilisé pour #entoijevoisdemain ?\nRejoignez-nous et après les 300€/mois, aidez-nous à atteindre les 400€/mois ! ⤵ \nhttps://zcu.io/KZWK","photos_and_videos/Photosdujournal_Eix909TVeA/99156895_284908466235693_8808910497404420096_o_284908462902360.jpg",""
2020-05-19T17:00:00,"19 mai 2020 à 17:00","😱26 semaines se sont écoulées depuis le lancement du projet #entoijevoisdemain !","😱26 semaines se sont écoulées depuis le lancement du projet #entoijevoisdemain !\nMalgré le confinement, la difficulté de la tâche, nous avons produit un 🔴Live et un 🎬 Vlog chaque semaine !\nMerci de votre soutien dans cette folle aventure !!! ♥","photos_and_videos/Photosdujournal_Eix909TVeA/98061031_284408966285643_5767201889439449088_o_284408959618977.jpg",""
